hhmm	lucky	repeated digit	stepper	palindrome	math	reason together
3:33	True	repeated digit	None	palindrome	None	repeated digit, palindrome
3:34	False	None	None	None	None	None
3:35	False	None	None	None	None	None
3:36	True	None	None	None	3+3=6	3+3=6
3:37	False	None	None	None	None	None
3:38	False	None	None	None	None	None
3:39	True	None	None	None	3*3=9	3*3=9
3:40	False	None	None	None	None	None
3:41	True	None	None	None	3=4-1	3=4-1
3:42	False	None	None	None	None	None
3:43	True	None	None	palindrome	None	palindrome
3:44	False	None	None	None	None	None
3:45	True	None	incrementing	None	None	incrementing
3:46	False	None	None	None	None	None
3:47	True	None	None	None	3+4=7	3+4=7
3:48	False	None	None	None	None	None
3:49	False	None	None	None	None	None
3:50	False	None	None	None	None	None
3:51	False	None	None	None	None	None
3:52	True	None	None	None	3=5-2	3=5-2
3:53	True	None	None	palindrome	None	palindrome
3:54	False	None	None	None	None	None
3:55	False	None	None	None	None	None
3:56	False	None	None	None	None	None
3:57	False	None	None	None	None	None
3:58	True	None	None	None	3+5=8	3+5=8
3:59	False	None	None	None	None	None
4:00	True	None	None	None	4*0=0	4*0=0
4:01	False	None	None	None	None	None
4:02	False	None	None	None	None	None
4:03	False	None	None	None	None	None
4:04	True	None	None	palindrome	4+0=4, 4-0=4, 4=0_4, 4=0+4	palindrome, 4+0=4, 4-0=4, 4=0_4, 4=0+4
4:05	False	None	None	None	None	None
4:06	False	None	None	None	None	None
4:07	False	None	None	None	None	None
4:08	False	None	None	None	None	None
4:09	False	None	None	None	None	None
4:10	False	None	None	None	None	None
4:11	False	None	None	None	None	None
4:12	False	None	None	None	None	None
4:13	True	None	None	None	4-1=3, 4=1+3	4-1=3, 4=1+3
4:14	True	None	None	palindrome	4*1=4, 4/1=4, 4=1*4	palindrome, 4*1=4, 4/1=4, 4=1*4
4:15	True	None	None	None	4+1=5	4+1=5
4:16	False	None	None	None	None	None
4:17	False	None	None	None	None	None
4:18	False	None	None	None	None	None
4:19	False	None	None	None	None	None
4:20	False	None	None	None	None	None
4:21	False	None	None	None	None	None
4:22	True	None	None	None	4/2=2, 4-2=2, 4=2*2, 4=2+2	4/2=2, 4-2=2, 4=2*2, 4=2+2
4:23	False	None	None	None	None	None
4:24	True	None	None	palindrome	None	palindrome
4:25	False	None	None	None	None	None
4:26	True	None	None	None	4+2=6	4+2=6
4:27	False	None	None	None	None	None
4:28	True	None	None	None	4*2=8	4*2=8
4:29	False	None	None	None	None	None
4:30	False	None	None	None	None	None
4:31	True	None	None	None	4-3=1, 4=3+1	4-3=1, 4=3+1
4:32	True	None	decrementing	None	None	decrementing
4:33	False	None	None	None	None	None
4:34	True	None	None	palindrome	None	palindrome
4:35	False	None	None	None	None	None
4:36	False	None	None	None	None	None
4:37	True	None	None	None	4+3=7	4+3=7
4:38	False	None	None	None	None	None
4:39	False	None	None	None	None	None
4:40	True	None	None	None	4-4=0, 4=4+0, 4=4-0	4-4=0, 4=4+0, 4=4-0
4:41	True	None	None	None	4/4=1, 4=4*1, 4=4/1	4/4=1, 4=4*1, 4=4/1
4:42	False	None	None	None	None	None
4:43	False	None	None	None	None	None
4:44	True	repeated digit	None	palindrome	None	repeated digit, palindrome
4:45	False	None	None	None	None	None
4:46	False	None	None	None	None	None
4:47	False	None	None	None	None	None
4:48	True	None	None	None	4+4=8	4+4=8
4:49	False	None	None	None	None	None
4:50	False	None	None	None	None	None
4:51	True	None	None	None	4=5-1	4=5-1
4:52	False	None	None	None	None	None
4:53	False	None	None	None	None	None
4:54	True	None	None	palindrome	None	palindrome
4:55	False	None	None	None	None	None
4:56	True	None	incrementing	None	None	incrementing
4:57	False	None	None	None	None	None
4:58	False	None	None	None	None	None
4:59	True	None	None	None	4+5=9	4+5=9
5:00	True	None	None	None	5*0=0	5*0=0
5:01	False	None	None	None	None	None
5:02	False	None	None	None	None	None
5:03	False	None	None	None	None	None
5:04	False	None	None	None	None	None
5:05	True	None	None	palindrome	5+0=5, 5-0=5, 5=0_5, 5=0+5	palindrome, 5+0=5, 5-0=5, 5=0_5, 5=0+5
5:06	False	None	None	None	None	None
5:07	False	None	None	None	None	None
5:08	False	None	None	None	None	None
5:09	False	None	None	None	None	None
5:10	False	None	None	None	None	None
5:11	False	None	None	None	None	None
5:12	False	None	None	None	None	None
5:13	False	None	None	None	None	None
5:14	True	None	None	None	5-1=4, 5=1+4	5-1=4, 5=1+4
5:15	True	None	None	palindrome	5*1=5, 5/1=5, 5=1*5	palindrome, 5*1=5, 5/1=5, 5=1*5
5:16	True	None	None	None	5+1=6	5+1=6
5:17	False	None	None	None	None	None
5:18	False	None	None	None	None	None
5:19	False	None	None	None	None	None
5:20	False	None	None	None	None	None
5:21	False	None	None	None	None	None
5:22	False	None	None	None	None	None
5:23	True	None	None	None	5-2=3, 5=2+3	5-2=3, 5=2+3
5:24	False	None	None	None	None	None
5:25	True	None	None	palindrome	None	palindrome
5:26	False	None	None	None	None	None
5:27	True	None	None	None	5+2=7	5+2=7
5:28	False	None	None	None	None	None
5:29	False	None	None	None	None	None
5:30	False	None	None	None	None	None
5:31	False	None	None	None	None	None
5:32	True	None	None	None	5-3=2, 5=3+2	5-3=2, 5=3+2
5:33	False	None	None	None	None	None
5:34	False	None	None	None	None	None
5:35	True	None	None	palindrome	None	palindrome
5:36	False	None	None	None	None	None
5:37	False	None	None	None	None	None
5:38	True	None	None	None	5+3=8	5+3=8
5:39	False	None	None	None	None	None
5:40	False	None	None	None	None	None
5:41	True	None	None	None	5-4=1, 5=4+1	5-4=1, 5=4+1
5:42	False	None	None	None	None	None
5:43	True	None	decrementing	None	None	decrementing
5:44	False	None	None	None	None	None
5:45	True	None	None	palindrome	None	palindrome
5:46	False	None	None	None	None	None
5:47	False	None	None	None	None	None
5:48	False	None	None	None	None	None
5:49	True	None	None	None	5+4=9	5+4=9
5:50	True	None	None	None	5-5=0, 5=5+0, 5=5-0	5-5=0, 5=5+0, 5=5-0
5:51	True	None	None	None	5/5=1, 5=5*1, 5=5/1	5/5=1, 5=5*1, 5=5/1
5:52	False	None	None	None	None	None
5:53	False	None	None	None	None	None
5:54	False	None	None	None	None	None
5:55	True	repeated digit	None	palindrome	None	repeated digit, palindrome
5:56	False	None	None	None	None	None
5:57	False	None	None	None	None	None
5:58	False	None	None	None	None	None
5:59	False	None	None	None	None	None
6:00	True	None	None	None	6*0=0	6*0=0
6:01	False	None	None	None	None	None
6:02	False	None	None	None	None	None
6:03	False	None	None	None	None	None
6:04	False	None	None	None	None	None
6:05	False	None	None	None	None	None
6:06	True	None	None	palindrome	6+0=6, 6-0=6, 6=0_6, 6=0+6	palindrome, 6+0=6, 6-0=6, 6=0_6, 6=0+6
6:07	False	None	None	None	None	None
6:08	False	None	None	None	None	None
6:09	False	None	None	None	None	None
6:10	False	None	None	None	None	None
6:11	False	None	None	None	None	None
6:12	False	None	None	None	None	None
6:13	False	None	None	None	None	None
6:14	False	None	None	None	None	None
6:15	True	None	None	None	6-1=5, 6=1+5	6-1=5, 6=1+5
6:16	True	None	None	palindrome	6*1=6, 6/1=6, 6=1*6	palindrome, 6*1=6, 6/1=6, 6=1*6
6:17	True	None	None	None	6+1=7	6+1=7
6:18	False	None	None	None	None	None
6:19	False	None	None	None	None	None
6:20	False	None	None	None	None	None
6:21	False	None	None	None	None	None
6:22	False	None	None	None	None	None
6:23	True	None	None	None	6/2=3, 6=2*3	6/2=3, 6=2*3
6:24	True	None	None	None	6-2=4, 6=2+4	6-2=4, 6=2+4
6:25	False	None	None	None	None	None
6:26	True	None	None	palindrome	None	palindrome
6:27	False	None	None	None	None	None
6:28	True	None	None	None	6+2=8	6+2=8
6:29	False	None	None	None	None	None
6:30	False	None	None	None	None	None
6:31	False	None	None	None	None	None
6:32	True	None	None	None	6/3=2, 6=3*2	6/3=2, 6=3*2
6:33	True	None	None	None	6-3=3, 6=3+3	6-3=3, 6=3+3
6:34	False	None	None	None	None	None
6:35	False	None	None	None	None	None
6:36	True	None	None	palindrome	None	palindrome
6:37	False	None	None	None	None	None
6:38	False	None	None	None	None	None
6:39	True	None	None	None	6+3=9	6+3=9
6:40	False	None	None	None	None	None
6:41	False	None	None	None	None	None
6:42	True	None	None	None	6-4=2, 6=4+2	6-4=2, 6=4+2
6:43	False	None	None	None	None	None
6:44	False	None	None	None	None	None
6:45	False	None	None	None	None	None
6:46	True	None	None	palindrome	None	palindrome
6:47	False	None	None	None	None	None
6:48	False	None	None	None	None	None
6:49	False	None	None	None	None	None
6:50	False	None	None	None	None	None
6:51	True	None	None	None	6-5=1, 6=5+1	6-5=1, 6=5+1
6:52	False	None	None	None	None	None
6:53	False	None	None	None	None	None
6:54	True	None	decrementing	None	None	decrementing
6:55	False	None	None	None	None	None
6:56	True	None	None	palindrome	None	palindrome
6:57	False	None	None	None	None	None
6:58	False	None	None	None	None	None
6:59	False	None	None	None	None	None
7:00	True	None	None	None	7*0=0	7*0=0
7:01	False	None	None	None	None	None
7:02	False	None	None	None	None	None
7:03	False	None	None	None	None	None
7:04	False	None	None	None	None	None
7:05	False	None	None	None	None	None
7:06	False	None	None	None	None	None
7:07	True	None	None	palindrome	7+0=7, 7-0=7, 7=0_7, 7=0+7	palindrome, 7+0=7, 7-0=7, 7=0_7, 7=0+7
7:08	False	None	None	None	None	None
7:09	False	None	None	None	None	None
7:10	False	None	None	None	None	None
7:11	False	None	None	None	None	None
7:12	False	None	None	None	None	None
7:13	False	None	None	None	None	None
7:14	False	None	None	None	None	None
7:15	False	None	None	None	None	None
7:16	True	None	None	None	7-1=6, 7=1+6	7-1=6, 7=1+6
7:17	True	None	None	palindrome	7*1=7, 7/1=7, 7=1*7	palindrome, 7*1=7, 7/1=7, 7=1*7
7:18	True	None	None	None	7+1=8	7+1=8
7:19	False	None	None	None	None	None
7:20	False	None	None	None	None	None
7:21	False	None	None	None	None	None
7:22	False	None	None	None	None	None
7:23	False	None	None	None	None	None
7:24	False	None	None	None	None	None
7:25	True	None	None	None	7-2=5, 7=2+5	7-2=5, 7=2+5
7:26	False	None	None	None	None	None
7:27	True	None	None	palindrome	None	palindrome
7:28	False	None	None	None	None	None
7:29	True	None	None	None	7+2=9	7+2=9
7:30	False	None	None	None	None	None
7:31	False	None	None	None	None	None
7:32	False	None	None	None	None	None
7:33	False	None	None	None	None	None
7:34	True	None	None	None	7-3=4, 7=3+4	7-3=4, 7=3+4
7:35	False	None	None	None	None	None
7:36	False	None	None	None	None	None
7:37	True	None	None	palindrome	None	palindrome
7:38	False	None	None	None	None	None
7:39	False	None	None	None	None	None
7:40	False	None	None	None	None	None
7:41	False	None	None	None	None	None
7:42	False	None	None	None	None	None
7:43	True	None	None	None	7-4=3, 7=4+3	7-4=3, 7=4+3
7:44	False	None	None	None	None	None
7:45	False	None	None	None	None	None
7:46	False	None	None	None	None	None
7:47	True	None	None	palindrome	None	palindrome
7:48	False	None	None	None	None	None
7:49	False	None	None	None	None	None
7:50	False	None	None	None	None	None
7:51	False	None	None	None	None	None
7:52	True	None	None	None	7-5=2, 7=5+2	7-5=2, 7=5+2
7:53	False	None	None	None	None	None
7:54	False	None	None	None	None	None
7:55	False	None	None	None	None	None
7:56	False	None	None	None	None	None
7:57	True	None	None	palindrome	None	palindrome
7:58	False	None	None	None	None	None
7:59	False	None	None	None	None	None
8:00	True	None	None	None	8*0=0	8*0=0
8:01	False	None	None	None	None	None
8:02	False	None	None	None	None	None
8:03	False	None	None	None	None	None
8:04	False	None	None	None	None	None
8:05	False	None	None	None	None	None
8:06	False	None	None	None	None	None
8:07	False	None	None	None	None	None
8:08	True	None	None	palindrome	8+0=8, 8-0=8, 8=0_8, 8=0+8	palindrome, 8+0=8, 8-0=8, 8=0_8, 8=0+8
8:09	False	None	None	None	None	None
8:10	False	None	None	None	None	None
8:11	False	None	None	None	None	None
8:12	False	None	None	None	None	None
8:13	False	None	None	None	None	None
8:14	False	None	None	None	None	None
8:15	False	None	None	None	None	None
8:16	False	None	None	None	None	None
8:17	True	None	None	None	8-1=7, 8=1+7	8-1=7, 8=1+7
8:18	True	None	None	palindrome	8*1=8, 8/1=8, 8=1*8	palindrome, 8*1=8, 8/1=8, 8=1*8
8:19	True	None	None	None	8+1=9	8+1=9
8:20	False	None	None	None	None	None
8:21	False	None	None	None	None	None
8:22	False	None	None	None	None	None
8:23	False	None	None	None	None	None
8:24	True	None	None	None	8/2=4, 8=2*4	8/2=4, 8=2*4
8:25	False	None	None	None	None	None
8:26	True	None	None	None	8-2=6, 8=2+6	8-2=6, 8=2+6
8:27	False	None	None	None	None	None
8:28	True	None	None	palindrome	None	palindrome
8:29	False	None	None	None	None	None
8:30	False	None	None	None	None	None
8:31	False	None	None	None	None	None
8:32	False	None	None	None	None	None
8:33	False	None	None	None	None	None
8:34	False	None	None	None	None	None
8:35	True	None	None	None	8-3=5, 8=3+5	8-3=5, 8=3+5
8:36	False	None	None	None	None	None
8:37	False	None	None	None	None	None
8:38	True	None	None	palindrome	None	palindrome
8:39	False	None	None	None	None	None
8:40	False	None	None	None	None	None
8:41	False	None	None	None	None	None
8:42	True	None	None	None	8/4=2, 8=4*2	8/4=2, 8=4*2
8:43	False	None	None	None	None	None
8:44	True	None	None	None	8-4=4, 8=4+4	8-4=4, 8=4+4
8:45	False	None	None	None	None	None
8:46	False	None	None	None	None	None
8:47	False	None	None	None	None	None
8:48	True	None	None	palindrome	None	palindrome
8:49	False	None	None	None	None	None
8:50	False	None	None	None	None	None
8:51	False	None	None	None	None	None
8:52	False	None	None	None	None	None
8:53	True	None	None	None	8-5=3, 8=5+3	8-5=3, 8=5+3
8:54	False	None	None	None	None	None
8:55	False	None	None	None	None	None
8:56	False	None	None	None	None	None
8:57	False	None	None	None	None	None
8:58	True	None	None	palindrome	None	palindrome
8:59	False	None	None	None	None	None
9:00	True	None	None	None	9*0=0	9*0=0
9:01	False	None	None	None	None	None
9:02	False	None	None	None	None	None
9:03	False	None	None	None	None	None
9:04	False	None	None	None	None	None
9:05	False	None	None	None	None	None
9:06	False	None	None	None	None	None
9:07	False	None	None	None	None	None
9:08	False	None	None	None	None	None
9:09	True	None	None	palindrome	9+0=9, 9-0=9, 9=0_9, 9=0+9	palindrome, 9+0=9, 9-0=9, 9=0_9, 9=0+9
9:10	False	None	None	None	None	None
9:11	False	None	None	None	None	None
9:12	False	None	None	None	None	None
9:13	False	None	None	None	None	None
9:14	False	None	None	None	None	None
9:15	False	None	None	None	None	None
9:16	False	None	None	None	None	None
9:17	False	None	None	None	None	None
9:18	True	None	None	None	9-1=8, 9=1+8	9-1=8, 9=1+8
9:19	True	None	None	palindrome	9*1=9, 9/1=9, 9=1*9	palindrome, 9*1=9, 9/1=9, 9=1*9
9:20	False	None	None	None	None	None
9:21	False	None	None	None	None	None
9:22	False	None	None	None	None	None
9:23	False	None	None	None	None	None
9:24	False	None	None	None	None	None
9:25	False	None	None	None	None	None
9:26	False	None	None	None	None	None
9:27	True	None	None	None	9-2=7, 9=2+7	9-2=7, 9=2+7
9:28	False	None	None	None	None	None
9:29	True	None	None	palindrome	None	palindrome
9:30	False	None	None	None	None	None
9:31	False	None	None	None	None	None
9:32	False	None	None	None	None	None
9:33	True	None	None	None	9/3=3, 9=3*3	9/3=3, 9=3*3
9:34	False	None	None	None	None	None
9:35	False	None	None	None	None	None
9:36	True	None	None	None	9-3=6, 9=3+6	9-3=6, 9=3+6
9:37	False	None	None	None	None	None
9:38	False	None	None	None	None	None
9:39	True	None	None	palindrome	None	palindrome
9:40	False	None	None	None	None	None
9:41	False	None	None	None	None	None
9:42	False	None	None	None	None	None
9:43	False	None	None	None	None	None
9:44	False	None	None	None	None	None
9:45	True	None	None	None	9-4=5, 9=4+5	9-4=5, 9=4+5
9:46	False	None	None	None	None	None
9:47	False	None	None	None	None	None
9:48	False	None	None	None	None	None
9:49	True	None	None	palindrome	None	palindrome
9:50	False	None	None	None	None	None
9:51	False	None	None	None	None	None
9:52	False	None	None	None	None	None
9:53	False	None	None	None	None	None
9:54	True	None	None	None	9-5=4, 9=5+4	9-5=4, 9=5+4
9:55	False	None	None	None	None	None
9:56	False	None	None	None	None	None
9:57	False	None	None	None	None	None
9:58	False	None	None	None	None	None
9:59	True	None	None	palindrome	None	palindrome
10:00	True	None	None	None	1_0*0=0, 1*0_0=0, 1*0*0=0, 1*0+0=0, 1*0-0=0, 1*0=0_0, 1*0=0*0, 1*0=0+0, 1*0=0-0	1_0*0=0, 1*0_0=0, 1*0*0=0, 1*0+0=0, 1*0-0=0, 1*0=0_0, 1*0=0*0, 1*0=0+0, 1*0=0-0
10:01	True	None	None	palindrome	1*0=0*1, 1*0=0/1, 1+0_0=1, 1+0*0=1, 1+0+0=1, 1+0-0=1, 1+0=0_1, 1+0=0+1, 1-0_0=1, 1-0*0=1, 1-0+0=1, 1-0-0=1, 1-0=0_1, 1-0=0+1, 1=0_0_1, 1=0_0+1, 1=0*0+1, 1=0+0_1, 1=0+0+1, 1=0-0+1	palindrome, 1*0=0*1, 1*0=0/1, 1+0_0=1, 1+0*0=1, 1+0+0=1, 1+0-0=1, 1+0=0_1, 1+0=0+1, 1-0_0=1, 1-0*0=1, 1-0+0=1, 1-0-0=1, 1-0=0_1, 1-0=0+1, 1=0_0_1, 1=0_0+1, 1=0*0+1, 1=0+0_1, 1=0+0+1, 1=0-0+1
10:02	True	None	None	None	1*0=0*2, 1*0=0/2	1*0=0*2, 1*0=0/2
10:03	True	None	None	None	1*0=0*3, 1*0=0/3	1*0=0*3, 1*0=0/3
10:04	True	None	None	None	1*0=0*4, 1*0=0/4	1*0=0*4, 1*0=0/4
10:05	True	None	None	None	1*0=0*5, 1*0=0/5	1*0=0*5, 1*0=0/5
10:06	True	None	None	None	1*0=0*6, 1*0=0/6	1*0=0*6, 1*0=0/6
10:07	True	None	None	None	1*0=0*7, 1*0=0/7	1*0=0*7, 1*0=0/7
10:08	True	None	None	None	1*0=0*8, 1*0=0/8	1*0=0*8, 1*0=0/8
10:09	True	None	None	None	1*0=0*9, 1*0=0/9	1*0=0*9, 1*0=0/9
10:10	True	None	None	None	1_0=1_0, 1*0*1=0, 1*0/1=0, 1*0=1*0, 1+0-1=0, 1+0=1+0, 1+0=1-0, 1-0_1=0, 1-0-1=0, 1-0=1+0, 1-0=1-0, 1=0_1+0, 1=0_1-0, 1=0+1+0, 1=0+1-0	1_0=1_0, 1*0*1=0, 1*0/1=0, 1*0=1*0, 1+0-1=0, 1+0=1+0, 1+0=1-0, 1-0_1=0, 1-0-1=0, 1-0=1+0, 1-0=1-0, 1=0_1+0, 1=0_1-0, 1=0+1+0, 1=0+1-0
10:11	True	None	None	None	1*0_1=1, 1*0+1=1, 1*0=1-1, 1/0_1=1, 1+0*1=1, 1+0/1=1, 1+0=1*1, 1+0=1/1, 1-0*1=1, 1-0/1=1, 1-0=1*1, 1-0=1/1, 1=0_1*1, 1=0_1/1, 1=0*1+1, 1=0/1+1, 1=0+1*1, 1=0+1/1	1*0_1=1, 1*0+1=1, 1*0=1-1, 1/0_1=1, 1+0*1=1, 1+0/1=1, 1+0=1*1, 1+0=1/1, 1-0*1=1, 1-0/1=1, 1-0=1*1, 1-0=1/1, 1=0_1*1, 1=0_1/1, 1=0*1+1, 1=0/1+1, 1=0+1*1, 1=0+1/1
10:12	True	None	None	None	1+0_1=2, 1+0+1=2, 1-0+1=2, 1=0-1+2	1+0_1=2, 1+0+1=2, 1-0+1=2, 1=0-1+2
10:13	False	None	None	None	None	None
10:14	False	None	None	None	None	None
10:15	False	None	None	None	None	None
10:16	False	None	None	None	None	None
10:17	False	None	None	None	None	None
10:18	False	None	None	None	None	None
10:19	True	None	None	None	1_0-1=9, 1_0=1+9	1_0-1=9, 1_0=1+9
10:20	True	None	None	None	1*0*2=0, 1*0/2=0, 1*0=2*0	1*0*2=0, 1*0/2=0, 1*0=2*0
10:21	True	None	None	None	1+0*2=1, 1+0/2=1, 1+0=2-1, 1-0*2=1, 1-0/2=1, 1-0=2-1, 1=0_2-1, 1=0*2+1, 1=0/2+1, 1=0+2-1	1+0*2=1, 1+0/2=1, 1+0=2-1, 1-0*2=1, 1-0/2=1, 1-0=2-1, 1=0_2-1, 1=0*2+1, 1=0/2+1, 1=0+2-1
10:22	True	None	None	None	1*0_2=2, 1*0+2=2, 1*0=2-2, 1+0=2/2, 1-0=2/2, 1=0_2/2, 1=0+2/21*0_2=2, 1*0+2=2, 1*0=2-2, 1+0=2/2, 1-0=2/2, 1=0_2/2, 1=0+2/2
10:23	True	None	None	None	1+0_2=3, 1+0+2=3, 1-0+2=3, 1=0-2+3	1+0_2=3, 1+0+2=3, 1-0+2=3, 1=0-2+3
10:24	False	None	None	None	None	None
10:25	True	None	None	None	1_0/2=5, 1_0=2*5	1_0/2=5, 1_0=2*5
10:26	False	None	None	None	None	None
10:27	False	None	None	None	None	None
